epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,466.563,1.44819,0.77928,1,0.68514,0.000235875,0.000235875,0.000235875
2,930.288,0.76896,0.78378,1,0.59289,0.000464301,0.000464301,0.000464301
3,1361.71,0.67744,0.80856,1,0.53942,0.000683109,0.000683109,0.000683109
4,1797.81,0.63143,0.87162,1,0.37887,0.000670723,0.000670723,0.000670723
5,2231.94,0.54528,0.87162,1,0.354,0.000656297,0.000656297,0.000656297
6,4955.23,0.47713,0.90315,1,0.31894,0.000641871,0.000641871,0.000641871
7,5396.44,0.42674,0.88964,1,0.31651,0.000627446,0.000627446,0.000627446
8,5836.59,0.42205,0.8964,1,0.33484,0.00061302,0.00061302,0.00061302
9,7041.59,0.42785,0.87387,1,0.35901,0.000598594,0.000598594,0.000598594
10,9812.27,0.38551,0.88739,1,0.28595,0.000584169,0.000584169,0.000584169
11,15537.3,0.37274,0.88964,1,0.30259,0.000569743,0.000569743,0.000569743
12,15992.1,0.35149,0.87838,1,0.33275,0.000555317,0.000555317,0.000555317
13,16441.6,0.31222,0.9009,1,0.28964,0.000540891,0.000540891,0.000540891
14,16888,0.30409,0.88063,1,0.317,0.000526466,0.000526466,0.000526466
15,17333.3,0.29473,0.87838,1,0.31083,0.00051204,0.00051204,0.00051204
16,17778.1,0.28688,0.89414,1,0.29717,0.000497614,0.000497614,0.000497614
